filename,emotion
AaNPkSWFpbenzOqe.mp4,3
AazOpsowGFKoteUW.mp4,5
cHwZTRgINHorDQrw.mp4,3
csXEgkPuJyFCcwKh.mp4,6
dOcYcrPrATRWCwlG.mp4,6
eIVUEUpJaqkzaiYg.mp4,6
ETYdHkWZMWDtwysl.mp4,4
eueQqrXnJjcMhLRu.mp4,4
fVVfFRGBaCdeqwsM.mp4,4
FzNnhOlsqYMupcnt.mp4,4
GuZArELlIcNiIPfm.mp4,3
gVZDbfgrtZGbyyls.mp4,6
gXEwIIakIoksxqdU.mp4,6
HFXSfGyLgzkPDJEH.mp4,0
HipGqhvaGKsgFKRW.mp4,0
IOXHlnqCdwVsLXtc.mp4,1
iQIQNWUySTMWEbPW.mp4,6
iqJyIVMNehrDLnrB.mp4,6
IqsbrKVqthXPaCiz.mp4,6
JEvrOyaZqxfeZygN.mp4,2
KGVqBaTSYbPmZUFh.mp4,3
LIXiygCKLnMvgCUj.mp4,4
LOZTgnDsTTDMerBB.mp4,5
mBQAMNWyqJOsvpEV.mp4,6
miNCwpEjtiIlldEu.mp4,4
mxTcnZLZuzTupEtx.mp4,6
MZDDIEDmGBsAOhyb.mp4,6
NIkMjprnDlxUOSRv.mp4,3
peOLaRnchVIRlmRk.mp4,5
pFtcywZlAoEeAasW.mp4,3
pUBsNVYDCSDhsbig.mp4,4
RLQnwJMlTMHNUFUL.mp4,4
RUGhtPfhsXCXzWuz.mp4,3
SBLhBXbwAGARmBUr.mp4,6
tiKTGiansGWeSvFr.mp4,6
tkelbAQxDgwCUYmR.mp4,3
tnIEEcWgEKnsTvBX.mp4,4
UGiBeoRnamOBrBvh.mp4,3
ULetdiKMvayihzoA.mp4,3
vpcfttbeEZNhoJHK.mp4,4
wknrvJcAhCRKONBl.mp4,3
XBxlloBhDymamqij.mp4,4
xNZUdycAftNdROFH.mp4,0
YQPJPubkOIWpxVJF.mp4,4
ZkWYeItXUCNjJBoM.mp4,0
